Blue Ban 1,Red Ban 1,Blue Ban 2,Red Ban 2,Blue Ban 3,Red Ban 3,Blue Pick 1,Red Pick 1,Red Pick 2,Blue Pick 2,Blue Pick 3,Red Pick 3,Red Ban 4,Blue Ban 4,Red Ban 5,Blue Ban 5,Red Pick 4,Blue Pick 4,Blue Pick 5,Red Pick 5
Aphelios,Taliyah,Graves,Lillia,Olaf,Samira,Kai'Sa,Xayah,Orianna,Azir,Hecarim,Thresh,Seraphine,Nidalee,Gnar,Gragas,Kindred,Alistar,Ornn,Aatrox
Seraphine,Udyr,Nidalee,Olaf,Lillia,Gragas,Kai'Sa,Rell,Renekton,Graves,Alistar,Samira,Gnar,Karthus,Azir,Gangplank,Hecarim,Sion,Orianna,Viktor
Lucian,Akali,Ezreal,Sett,Renekton,Camille,Xin Zhao,Lee Sin,Gwen,Jayce,Lulu,Nautilus,Thresh,LeBlanc,Tahm Kench,Twisted Fate,Varus,Jhin,Leona,Orianna
Kalista,Irelia,Viego,Renekton,Gwen,Xin Zhao,Ziggs,Diana,Sivir,Alistar,Kayn,Yuumi,Lee Sin,Sylas,Tristana,Dr. Mundo,Tahm Kench,Gnar,Akali,Camille
Elise,Zoe,Nidalee,Pantheon,Leona,Camille,Kai'Sa,Renekton,Olaf,Lillia,Yone,Xayah,Sett,Galio,Gnar,Orianna,Neeko,Gragas,Alistar,Rakan
Rell,Kalista,Udyr,Taliyah,Gnar,Seraphine,Kai'Sa,Aphelios,Thresh,Nidalee,Renekton,Volibear,Yone,Lillia,Jarvan IV,Dr. Mundo,Olaf,Orianna,Sett,Syndra
Ezreal,Renekton,Xin Zhao,Nocturne,Akali,Rumble,Lee Sin,Viego,Diana,Volibear,LeBlanc,Varus,Thresh,Alistar,Kai'Sa,Sett,Leona,Senna,Tahm Kench,Sylas
Gnar,Karma,Lucian,Udyr,Nocturne,Renekton,Lee Sin,Rumble,Kalista,Senna,Tahm Kench,Sett,Akali,Gragas,Ryze,Gwen,Leona,Camille,Twisted Fate,Orianna
Irelia,Viego,Aphelios,Lucian,Ziggs,Ryze,Renekton,Diana,Lee Sin,Rumble,Kalista,Ashe,Jayce,Braum,Rakan,Lissandra,Alistar,Gragas,Sylas,Sett
Gnar,Zoe,Lucian,Kai'Sa,Olaf,Thresh,Renekton,Udyr,Tristana,Lillia,Azir,Gragas,Samira,Alistar,Xayah,Orianna,Syndra,Rell,Kalista,Janna
Zoe,Olaf,Samira,Renekton,Gragas,Twisted Fate,Pantheon,Kai'Sa,Udyr,Xayah,Rell,Orianna,Ryze,Alistar,Camille,Seraphine,Leona,Gnar,Rumble,Gangplank
Kalista,Thresh,Renekton,Taliyah,Camille,Olaf,Kai'Sa,Rell,Udyr,Nidalee,Rakan,Aphelios,Sett,Syndra,Nocturne,Azir,Orianna,Viktor,Gnar,Pantheon
Rumble,Renekton,Nocturne,Karma,Lee Sin,Akali,Sett,Ezreal,Viego,Kai'Sa,Diana,Xin Zhao,Nautilus,Rell,Rakan,Leona,Gwen,Wukong,Galio,Braum
Zoe,Akali,Camille,Gragas,Renekton,Jayce,Kai'Sa,Aphelios,Pantheon,Olaf,Orianna,Thresh,Nautilus,Twisted Fate,Alistar,Aatrox,Viktor,Leona,Malphite,Sylas
Ziggs,Kalista,Ryze,Ashe,Aphelios,Azir,Renekton,Varus,Diana,Ezreal,Leona,Jayce,Volibear,Yasuo,Trundle,LeBlanc,Braum,Xin Zhao,Syndra,Lucian
Renekton,Zoe,Camille,Syndra,Thresh,Samira,Kai'Sa,Udyr,Lucian,Lillia,Rell,Gragas,Jayce,Gnar,Aatrox,Alistar,Volibear,Sion,Azir,Corki
Gwen,Karma,Lee Sin,Nocturne,Udyr,Akali,Renekton,Rumble,Varus,Nidalee,Sett,Viego,Ezreal,Jayce,Lulu,Volibear,Gnar,Kai'Sa,Nautilus,Leona
Tristana,Kai'Sa,Gnar,Zoe,Renekton,,Udyr,Gragas,Hecarim,Thresh,Aphelios,Xayah,Aatrox,Alistar,Sion,Rell,Azir,Seraphine,Jayce,Rakan
Nocturne,Varus,Ezreal,Gwen,Renekton,Lee Sin,Udyr,Kai'Sa,Rumble,Senna,Tahm Kench,Karma,Kennen,Lucian,Jayce,Wukong,Sett,Gnar,Viktor,LeBlanc
Camille,Lee Sin,Xin Zhao,Diana,Renekton,Rumble,Akali,Karma,Ezreal,Varus,Nautilus,Viego,Volibear,Twisted Fate,Nocturne,Sylas,LeBlanc,Gwen,Hecarim,Jax
Azir,Irelia,Kai'Sa,Syndra,Rell,Udyr,Renekton,Nidalee,Thresh,Lillia,Lucian,Aphelios,Samira,Sion,Ezreal,Viktor,Orianna,Kalista,Neeko,Aatrox
Gnar,Ziggs,Renekton,LeBlanc,Irelia,Syndra,Ryze,Jayce,Lee Sin,Tahm Kench,Diana,Twisted Fate,Sion,Varus,Ashe,Thresh,Kalista,Aphelios,Camille,Gragas
Thresh,Senna,Udyr,Seraphine,Renekton,Graves,Hecarim,Tristana,Rell,Gragas,Xayah,Kindred,Zoe,Irelia,Azir,Orianna,Syndra,Zilean,Gnar,Sylas
Ezreal,Renekton,Xin Zhao,Nocturne,Akali,Rumble,Lee Sin,Volibear,LeBlanc,Sylas,Thresh,Varus,Kalista,Sett,Aphelios,Jayce,Leona,Jinx,Gwen,Lucian
Renekton,Kai'Sa,Rell,Udyr,Seraphine,Graves,Olaf,Lillia,Samira,Tristana,Alistar,Leona,Irelia,Kled,Camille,Sett,Ryze,Jayce,Azir,Lucian
Draven,Syndra,Thresh,Diana,Lucian,Xin Zhao,Viego,Hecarim,Varus,Kalista,Renekton,Cassiopeia,Orianna,Tahm Kench,LeBlanc,Leona,Ornn,Sylas,Braum,Rakan
Lucian,Akali,Nocturne,Xin Zhao,Lee Sin,Thresh,Varus,Rumble,Kai'Sa,Evelynn,Viego,Jayce,Tahm Kench,Galio,Renekton,Leona,Nautilus,Braum,Sett,Ryze
Skarner,Azir,Renekton,Udyr,Corki,Thresh,Lillia,Rell,Kai'Sa,Alistar,Camille,Hecarim,Xayah,Gnar,Kalista,Twisted Fate,Shen,Samira,Orianna,Syndra
Azir,Gragas,Seraphine,Thresh,Jinx,Zoe,Hecarim,Udyr,Kai'Sa,Tristana,Rell,Alistar,Sion,Camille,Jayce,Orianna,Gnar,Lucian,Twisted Fate,Galio
Thresh,Twisted Fate,Kalista,Senna,Alistar,Jhin,Rell,Kai'Sa,Hecarim,Xayah,Lillia,Leona,Gragas,Syndra,Gnar,Aatrox,Sion,Dr. Mundo,Yone,LeBlanc
Udyr,Irelia,Rell,Lucian,Tristana,Lillia,Seraphine,Thresh,Jinx,Kai'Sa,Pyke,Azir,Gnar,Skarner,Olaf,Hecarim,Renekton,Sion,Graves,Taliyah
Twisted Fate,Pantheon,Galio,Taliyah,Kai'Sa,Renekton,Udyr,Camille,Orianna,Gnar,Azir,Olaf,Seraphine,Rell,Blitzcrank,Senna,Alistar,Xayah,Rakan,Aphelios
LeBlanc,Renekton,Lee Sin,Rumble,Akali,Sett,Xin Zhao,Nocturne,Karma,Lulu,Gwen,Ezreal,Nautilus,Sylas,Kai'Sa,Ryze,Udyr,Jinx,Thresh,Twisted Fate
Nocturne,Renekton,Lee Sin,Senna,Varus,Gwen,Udyr,Rumble,Tristana,Ezreal,Karma,Nautilus,Syndra,Kalista,Orianna,Irelia,Jayce,Leona,Wukong,Sett
Olaf,Twisted Fate,Pantheon,Udyr,Orianna,Zoe,Kai'Sa,Renekton,Xayah,Gnar,Lillia,Taliyah,Akali,Syndra,Galio,Lucian,Leona,Alistar,LeBlanc,Viktor
Kalista,Rumble,Akali,Ezreal,Nocturne,Renekton,Udyr,Sett,Diana,Varus,Gnar,Lee Sin,Sylas,Kai'Sa,Nautilus,Yasuo,Lulu,Karma,Azir,Kog'Maw
Ziggs,Irelia,Gwen,Xin Zhao,Jayce,Varus,Viego,Thresh,Aphelios,Ashe,Leona,Olaf,Ryze,Karma,Camille,Renekton,LeBlanc,Lee Sin,Syndra,Gnar
Nocturne,Viego,Varus,Rumble,Karma,Renekton,Sett,Lee Sin,Ezreal,Nidalee,Kai'Sa,Akali,Zoe,Ryze,Jayce,Udyr,Leona,Rakan,Sylas,Orianna
Twisted Fate,Nidalee,Camille,Renekton,Akali,Pantheon,Olaf,Kai'Sa,Leona,Aphelios,Thresh,Graves,Zoe,Gnar,Ornn,Jayce,Rumble,Orianna,Gragas,Aatrox
Twisted Fate,Akali,Aphelios,Taliyah,Pantheon,Syndra,Zoe,Samira,Rell,Olaf,Kai'Sa,Azir,Alistar,Graves,Maokai,Jayce,Lillia,Gnar,Nautilus,Camille
Rell,Gragas,Nidalee,Udyr,Renekton,Kai'Sa,Lillia,Tristana,Karthus,Alistar,Samira,Nocturne,Lucian,Gnar,Sion,Rakan,Galio,Azir,Jayce,Irelia
Olaf,Seraphine,Pantheon,Syndra,Udyr,Taliyah,Kai'Sa,Rell,Nidalee,Graves,Alistar,Samira,Zoe,Gnar,Twisted Fate,Orianna,Azir,Ryze,Sion,Renekton
Seraphine,Azir,Pantheon,Olaf,Renekton,Thresh,Kai'Sa,Rell,Xayah,Udyr,Orianna,Lillia,Leona,Irelia,Gangplank,Camille,Twisted Fate,Alistar,Gnar,Aatrox
Olaf,Zoe,Orianna,Nidalee,Renekton,Kai'Sa,Samira,Udyr,Alistar,Gragas,Dr. Mundo,Tristana,Rell,Gnar,Syndra,Azir,Twisted Fate,Seraphine,Nautilus,Camille
Lee Sin,Renekton,LeBlanc,Gwen,Xin Zhao,Viego,Akali,Sylas,Volibear,Aphelios,Thresh,Leona,Olaf,Varus,Trundle,Ezreal,Kalista,Nocturne,Camille,Sett
Olaf,Zoe,Gragas,Pantheon,Twisted Fate,Lillia,Renekton,Kai'Sa,Udyr,Senna,Galio,Gnar,Taliyah,Rell,Nidalee,Sett,Alistar,Leona,Graves,Orianna
Renekton,Karma,Varus,Nocturne,Nidalee,Rumble,Lee Sin,Ezreal,Volibear,Kai'Sa,Akali,Diana,Sett,Lucian,Udyr,Galio,Nautilus,Rell,Xin Zhao,Ryze
Karma,Akali,Lucian,Lulu,Renekton,Tahm Kench,Nocturne,Sett,Rumble,Ezreal,Diana,Kai'Sa,Leona,Nautilus,Rakan,Gnar,Rell,Alistar,Viego,Lee Sin
Camille,Seraphine,Kalista,Taliyah,Udyr,Samira,Olaf,Kai'Sa,Syndra,Xayah,Orianna,Jarvan IV,Rakan,Gnar,Ornn,Galio,Gragas,Thresh,Renekton,Pyke
Kalista,Xin Zhao,Viktor,Viego,Thresh,Gwen,Irelia,Aphelios,Diana,Lee Sin,LeBlanc,Ryze,Ziggs,Renekton,Varus,Gangplank,Nocturne,Xayah,Rakan,Rell
Seraphine,Kai'Sa,Rell,Renekton,Thresh,Senna,Tristana,Xayah,Alistar,Olaf,Leona,Udyr,Gragas,Camille,Twisted Fate,Orianna,Azir,Gnar,Syndra,Gangplank
Nocturne,Thresh,Akali,Xin Zhao,Ezreal,Karma,Renekton,Lee Sin,Sett,Rumble,Varus,Diana,Camille,Kog'Maw,Jayce,Senna,Kalista,Gwen,Leona,Rakan
