Blue Ban 1,Red Ban 1,Blue Ban 2,Red Ban 2,Blue Ban 3,Red Ban 3,Blue Pick 1,Red Pick 1,Red Pick 2,Blue Pick 2,Blue Pick 3,Red Pick 3,Red Ban 4,Blue Ban 4,Red Ban 5,Blue Ban 5,Red Pick 4,Blue Pick 4,Blue Pick 5,Red Pick 5
Pantheon,Akali,Senna,Aphelios,Elise,Qiyana,Lucian,Miss Fortune,Rek'Sai,Varus,Braum,Rumble,Zoe,Mordekaiser,LeBlanc,Irelia,Rakan,Gragas,Aatrox,Renekton
Olaf,Aphelios,Wukong,Taric,Varus,Senna,Kalista,Miss Fortune,Renekton,Nautilus,Ornn,Braum,Jarvan IV,Sylas,LeBlanc,Kassadin,Sejuani,Trundle,Azir,Akali
Zoe,Elise,Jarvan IV,Aphelios,Sejuani,Senna,Renekton,Sett,Gragas,Miss Fortune,Nautilus,Varus,Sylas,Thresh,Olaf,Mordekaiser,Braum,Ekko,Qiyana,Maokai
Zoe,Sett,Elise,Senna,Olaf,Rek'Sai,Lee Sin,Ornn,Aphelios,Aatrox,Miss Fortune,Kindred,Nautilus,Karma,Sylas,LeBlanc,Leona,Blitzcrank,Rumble,Mordekaiser
LeBlanc,Olaf,Elise,Sett,Irelia,Pantheon,Zoe,Aphelios,Ekko,Renekton,Nautilus,Lee Sin,Rek'Sai,Leona,Taliyah,Gangplank,Ornn,Sylas,Kai'Sa,Thresh
Azir,Senna,Jarvan IV,Taric,Thresh,Aphelios,Varus,Sett,Kalista,Tahm Kench,Olaf,Nautilus,Kassadin,Trundle,Neeko,Rumble,Lee Sin,Wukong,LeBlanc,Corki
LeBlanc,Pantheon,Senna,Sett,Kalista,Elise,Olaf,Aphelios,Lee Sin,Miss Fortune,Nautilus,Thresh,Irelia,Syndra,Zoe,Lucian,Rumble,Taliyah,Mordekaiser,Orianna
LeBlanc,Aphelios,Sejuani,Olaf,Sett,Zoe,Renekton,Ornn,Jarvan IV,Elise,Varus,Kai'Sa,Sylas,Rumble,Pantheon,Kassadin,Neeko,Ziggs,Leona,Nautilus
Olaf,Sylas,Elise,Senna,Aphelios,Sett,Varus,Miss Fortune,Sejuani,Mordekaiser,Jarvan IV,Renekton,Braum,Irelia,Tahm Kench,Leona,Nautilus,LeBlanc,Thresh,Azir
Olaf,Aphelios,Lee Sin,Sett,Mordekaiser,Senna,Ornn,Miss Fortune,Rumble,Ezreal,Yuumi,Jarvan IV,Rek'Sai,Thresh,Elise,Nautilus,Bard,Gragas,Renekton,Maokai
Poppy,Sejuani,Yuumi,Elise,Gangplank,Mordekaiser,Kalista,Thresh,Trundle,Ornn,Taric,Aphelios,Rumble,Kassadin,Olaf,Azir,Maokai,Gragas,Irelia,Zoe
Pantheon,Azir,Rumble,Aphelios,Renekton,Kalista,Varus,Sett,Kai'Sa,Trundle,Tahm Kench,Wukong,Mordekaiser,Ekko,LeBlanc,Elise,Gragas,Jax,Zoe,Nocturne
Zoe,Jarvan IV,Sett,Wukong,Thresh,Aphelios,Senna,Varus,Renekton,Nautilus,Ornn,Trundle,Kindred,Syndra,Graves,LeBlanc,Morgana,Lee Sin,Corki,Sylas
Senna,Sett,Ornn,Aphelios,Olaf,Lee Sin,Rumble,Jarvan IV,Miss Fortune,Kalista,Lucian,Nautilus,Thresh,Aatrox,Rek'Sai,LeBlanc,Renekton,Braum,Sejuani,Azir
Zoe,Sett,Rumble,Ornn,Varus,Karthus,Senna,Aphelios,Olaf,Lee Sin,LeBlanc,Galio,Tahm Kench,Nautilus,Mordekaiser,Leona,Aatrox,Renekton,Vayne,Blitzcrank
Rumble,Aphelios,Jarvan IV,Elise,Sett,Senna,Ornn,Miss Fortune,Lee Sin,Lucian,Bard,Thresh,Gragas,Mordekaiser,Rek'Sai,Cassiopeia,Poppy,Sylas,Trundle,LeBlanc
Zoe,Sett,Varus,Renekton,LeBlanc,Olaf,Aphelios,Elise,Ezreal,Mordekaiser,Lee Sin,Fiora,Morgana,Azir,Thresh,Braum,Alistar,Rakan,Sylas,Irelia
Elise,Rumble,Senna,Pantheon,Olaf,Miss Fortune,Sett,Ornn,Aphelios,Rek'Sai,Braum,Sejuani,Varus,Irelia,Kalista,Viktor,Yuumi,Kai'Sa,Zoe,Diana
LeBlanc,Aphelios,Rek'Sai,Jarvan IV,Kalista,Wukong,Thresh,Varus,Renekton,Miss Fortune,Ornn,Elise,Olaf,Kassadin,Lee Sin,Qiyana,Tahm Kench,Zoe,Sett,Syndra
Rek'Sai,Olaf,Sejuani,Sett,Ornn,Pantheon,Renekton,Jarvan IV,Mordekaiser,Aphelios,Thresh,Miss Fortune,Elise,Rumble,Lee Sin,Nautilus,Braum,Azir,Trundle,Zoe
